Ribo_score,RNAcode_score,Conservation_score,pI,pL,pV,Feature
2.706540665,0,1,0.069767,0.069767,0.116279,-1
2.62314991,0,1,0.090909,0.136364,0.045455,-1
2.340154064,0,1,0,0.029412,0.029412,-1
1.975852291,0,1,0,0.0625,0.1875,-1
1.871975788,0,0.9,0,0.04,0.08,-1
1.667267988,0,0.6,0,0,0.066667,-1
1.392594215,0,1,0.096774,0.096774,0.096774,-1
1.3759765,0,0.2,0,0.0625,0.125,-1
1.347093366,0,1,0,0.113636,0.136364,-1
1.191424035,0,0.6,0,0.133333,0.066667,-1
1.111746651,0,0.2,0,0.090909,0.045455,-1
0.886179622,0,0.1,0.05,0.2,0.05,-1
0.155320149,0,1,0.034483,0.068966,0.034483,-1
0.101155397,0,0.8,0.085714,0.028571,0.085714,-1
0.084490568,0,1,0.0625,0.125,0.0625,-1
0.049234072,0,0.9,0,0,0.25,-1
1871.106364,0,1,0.055556,0.166667,0.111111,-1
1724.887373,0,0.1,0.043478,0.086957,0.043478,-1
908.5195572,0,1,0.088235,0.058824,0.147059,-1
719.0562144,0,1,0.095238,0.047619,0.047619,-1
529.4095925,0,0.9,0.055556,0.055556,0.055556,-1
499.8925544,0,1,0,0.045455,0.045455,-1
353.0142399,0,1,0.03125,0.09375,0.03125,-1
323.4710616,0,1,0.052632,0.052632,0.052632,-1
313.6088659,0,0.3,0.032258,0.064516,0.032258,-1
291.8206376,0,0.9,0,0.179487,0.076923,-1
188.492016,0,1,0.052632,0.052632,0.052632,-1
157.4389318,0,1,0.052632,0,0.105263,-1
120.8332125,0,0.9,0,0.058824,0.117647,-1
106.4886651,0,0.1,0,0.043478,0.130435,-1
98.20237966,0,0.4,0,0.105263,0.105263,-1
98.02575673,0,0.9,0.03125,0.125,0.09375,-1
94.89177375,0,0.1,0,0.038462,0.076923,-1
92.23910595,0,0.9,0,0.166667,0.222222,-1
79.94667747,0,1,0.111111,0.055556,0.055556,-1
69.13045311,0,0.7,0.026316,0.052632,0.131579,-1
63.85091341,0,1,0,0.16,0.08,-1
61.96343167,0,1,0,0,0.157895,-1
61.40820752,0,1,0,0.16,0.08,-1
51.10718722,0,1,0.038462,0.076923,0.115385,-1
46.59621827,0,1,0.083333,0.083333,0.208333,-1
40.80899958,0,0.2,0,0.157895,0.263158,-1
35.56963705,0,1,0,0.16,0.08,-1
34.81773062,0,0.1,0,0,0.133333,-1
34.38173615,0,0.2,0.037037,0.037037,0,-1
32.99913645,0,0.2,0,0.157895,0.263158,-1
32.76237237,0,0.1,0,0.117647,0.294118,-1
32.50790795,0,0.1,0,0,0.133333,-1
31.15191227,0,0.3,0.0625,0,0.125,-1
30.7618219,0,0.1,0,0.117647,0.058824,-1
29.44782363,0,1,0,0.073171,0.170732,-1
29.08168969,0,1,0,0.083333,0.125,-1
26.34975273,0,0.9,0,0,0.263158,-1
23.48230995,0,0.1,0,0.136364,0.136364,-1
22.67918124,0,1,0,0.107143,0.142857,-1
22.00876733,0,1,0.027027,0,0.162162,-1
19.32823797,0,0.2,0,0.125,0.0625,-1
17.92542985,0,0.1,0,0.117647,0.058824,-1
16.97692264,0,1,0.04,0.08,0.04,-1
16.37656468,0,0.1,0,0.107143,0.214286,-1
15.35444311,0,0.1,0.042553,0.06383,0.085106,-1
13.97731263,0,0.1,0,0.045455,0,-1
13.24725186,0,1,0,0.041667,0.125,-1
12.21203556,0,0.2,0,0.05,0,-1
12.17252865,0,1,0.029412,0.058824,0.147059,-1
